,predicted_weekly_demand,safety_stock,recommended_restock,avg_price,estimated_cost,Description
84826,10933.0,24816.0,35749.0,0.4725,16891.28,ASSTD DESIGN 3D PAPER STICKERS
23084,4731.0,2243.0,6974.0,2.2491208171126233,15685.48,RABBIT NIGHT LIGHT
22197,4116.0,2595.0,6711.0,1.0141827362905795,6806.05,SMALL POPCORN HOLDER
M,2024.0,2003.0,4027.0,52.64843137254902,212006.19,Manual
85099B,2391.0,1005.0,3396.0,2.4236801064162172,8231.69,JUMBO BAG RED RETROSPOT
20668,1960.0,902.0,2861.0,0.15885897435897436,454.57,DISCO BALL CHRISTMAS DECORATION
84879,1795.0,1000.0,2795.0,1.7695596255596255,4945.06,ASSORTED COLOUR BIRD ORNAMENT
21915,1535.0,1230.0,2765.0,1.8193461538461537,5030.47,RED  HARMONICA IN BOX 
22578,2004.0,594.0,2597.0,0.43199658571880795,1122.07,WOODEN STAR CHRISTMAS SCANDINAVIAN
22086,1720.0,665.0,2385.0,3.243557587917822,7737.13,PAPER CHAIN KIT 50'S CHRISTMAS 
23552,1328.0,811.0,2139.0,2.312028183621934,4944.76,BICYCLE PUNCTURE REPAIR KIT 
22413,734.0,1272.0,2006.0,3.3878947368421053,6795.4,METAL SIGN TAKE IT OR LEAVE IT 
23498,1167.0,820.0,1986.0,1.6884046786546787,3353.96,CLASSIC BICYCLE CLIPS 
22616,1106.0,836.0,1942.0,0.5240287698412699,1017.81,PACK OF 12 LONDON TISSUES 
23203,1164.0,760.0,1924.0,2.3450201591557804,4512.43,mailout
22492,934.0,975.0,1909.0,0.9183043478260869,1753.03,MINI PAINT SET VINTAGE 
21787,740.0,1165.0,1905.0,1.1684545454545454,2225.8,RAIN PONCHO RETROSPOT
84347,1287.0,517.0,1804.0,3.22254923574368,5814.09,ROTATING SILVER ANGELS T-LIGHT HLDR
23582,563.0,1168.0,1731.0,2.2611444538367618,3914.43,VINTAGE DOILY JUMBO BAG RED 
21137,721.0,934.0,1655.0,4.890727564102564,8094.81,BLACK RECORD COVER FRAME
84077,1264.0,379.0,1643.0,0.36617765567765564,601.73,WORLD WAR 2 GLIDERS ASSTD DESIGNS
16014,900.0,718.0,1618.0,0.4057142857142857,656.57,SMALL CHINESE STYLE SCISSOR
21166,1016.0,565.0,1581.0,2.6830105820105823,4242.9,COOK WITH WINE METAL SIGN 
22952,1130.0,440.0,1570.0,0.7632074098740766,1198.52,60 CAKE CASES VINTAGE CHRISTMAS
23344,1030.0,496.0,1526.0,2.3636992584139986,3607.39,JUMBO BAG 50'S CHRISTMAS 
21790,1073.0,365.0,1438.0,1.020037210731655,1467.03,VINTAGE SNAP CARDS
82600,683.0,737.0,1419.0,2.645690476190476,3755.51,NO SINGING METAL SIGN
21135,620.0,744.0,1364.0,1.600833333333333,2183.01,VICTORIAN  METAL POSTCARD SPRING
23581,930.0,423.0,1353.0,2.3311387835717903,3154.08,JUMBO BAG PAISLEY PARK
23310,1116.0,225.0,1341.0,0.5192948717948718,696.56,BUBBLEGUM RING ASSORTED
21810,721.0,616.0,1336.0,0.57681569664903,770.87,CHRISTMAS HANGING STAR WITH BELL
23077,771.0,459.0,1229.0,1.493037037037037,1835.29,DOUGHNUT LIP GLOSS 
22130,576.0,647.0,1223.0,0.9864444444444445,1206.9,PARTY CONE CHRISTMAS DECORATION 
22865,838.0,384.0,1223.0,2.4615683836860307,3009.71,HAND WARMER OWL DESIGN
22355,839.0,373.0,1211.0,1.3735132275132274,1663.5,CHARLOTTE BAG SUKI DESIGN
79321,705.0,503.0,1208.0,7.4885318986569,9043.71,CHILLI LIGHTS
22910,846.0,351.0,1198.0,3.4193078257980223,4094.64,PAPER CHAIN KIT VINTAGE CHRISTMAS
84212,537.0,650.0,1186.0,1.1600000000000001,1376.27,"ASSORTED FLOWER COLOUR ""LEIS"""
22386,812.0,370.0,1182.0,2.624520576131687,3102.94,JUMBO BAG PINK POLKADOT
23497,662.0,516.0,1179.0,1.674102934102934,1972.97,CLASSIC CHROME BICYCLE BELL 
22961,643.0,528.0,1171.0,2.286055261610817,2676.95,JAM MAKING SET PRINTED
22319,887.0,282.0,1169.0,0.3625,423.84,HAIRCLIPS FORTIES FABRIC ASSORTED
22988,878.0,290.0,1168.0,1.6751617063492066,1956.7,SOLDIERS EGG CUP 
21108,656.0,501.0,1157.0,1.4971390476190476,1732.48,FAIRY CAKE FLANNEL ASSORTED COLOUR
22579,823.0,329.0,1152.0,0.5480101461038961,631.31,WOODEN TREE CHRISTMAS SCANDINAVIAN
23507,448.0,703.0,1151.0,0.52805,607.57,MINI PLAYING CARDS BUFFALO BILL 
22030,565.0,584.0,1149.0,0.4934210526315789,567.09,SWALLOWS GREETING CARD
23510,476.0,673.0,1149.0,0.5738257575757575,659.31,MINI PLAYING CARDS GYMKHANA
84378,554.0,587.0,1140.0,1.7793373015873015,2028.88,SET OF 3 HEART COOKIE CUTTERS
22152,617.0,515.0,1133.0,0.56625,641.28,PLACE SETTING WHITE STAR
85152,545.0,580.0,1125.0,2.5850787037037035,2908.56,HAND OVER THE CHOCOLATE   SIGN 
16045,829.0,295.0,1124.0,0.04,44.95,POPART WOODEN PENCILS ASST
84946,834.0,284.0,1119.0,1.5138571428571428,1693.4,ANTIQUE SILVER TEA GLASS ETCHED
84945,700.0,411.0,1111.0,0.96148,1068.08,MULTI COLOUR SILVER T-LIGHT HOLDER
23583,834.0,274.0,1107.0,1.927643311421089,2134.71,LUNCH BAG PAISLEY PARK  
23301,746.0,353.0,1099.0,2.127107414855781,2337.97,GARDENERS KNEELING PAD KEEP CALM 
21181,651.0,448.0,1099.0,2.946755928853755,3238.63,PLEASE ONE PERSON METAL SIGN
